name,year,kilometrage,boite_de_vitesse,moteur,price
VOLKSWAGEN POLO VI,2019,59 205 km,Manuelle,Essence,16 570€
PEUGEOT RIFTER,2022,62 799 km,Manuelle,Diesel,29 990€
CITROEN JUMPY II phase 2,2018,145 985 km,Manuelle,Diesel,20 220€
MAZDA MX5 III,2010,105 437 km,Manuelle,Essence,18 580€
PEUGEOT 2008 phase 2,2018,70 200 km,Automatique,Essence,16 080€
AUDI Q3 II SPORTBACK,2022,5 521 km,Automatique,Essence,51 230€
PEUGEOT 208,2018,59 132 km,Manuelle,Essence,14 120€
FORD PUMA II,2022,12 934 km,Automatique,Essence,26 860€
RENAULT TRAFIC III phase 2,2024,1 km,Manuelle,Diesel,46 800€
PEUGEOT EXPERT III FOURGON,2020,124 055 km,Manuelle,Diesel,25 940€
TOYOTA AYGO II,2019,52 594 km,Manuelle,Essence,11 650€
NISSAN X-TRAIL III phase 2,2019,113 443 km,Manuelle,Diesel,22 740€
AUDI Q3,2013,115 024 km,Manuelle,Diesel,21 630€
HYUNDAI IX35,2012,113 954 km,Automatique,Diesel,14 020€
MERCEDES CLASSE CLS II,2013,87 708 km,Automatique,Diesel,26 430€
AUDI Q2,2019,131 374 km,Automatique,Diesel,25 280€
RENAULT CAPTUR II,2023,13 km,Manuelle,Essence,30 580€
NISSAN QASHQAI II,2016,64 766 km,Automatique,Essence,16 010€
CITROEN C5 AIRCROSS,2023,22 122 km,Manuelle,Essence,32 840€
NISSAN QASHQAI II,2016,153 954 km,Manuelle,Diesel,16 830€
VOLKSWAGEN SHARAN II,2016,148 788 km,Automatique,Diesel,26 890€
PEUGEOT 2008 II,2024,21 km,Automatique,Essence,34 080€
OPEL GRANDLAND X,2021,77 168 km,Automatique,Diesel,28 780€
AUDI Q5 II phase 2,2023,21 622 km,Automatique,Diesel,76 860€
DACIA SANDERO II STEPWAY phase 2,2019,159 899 km,Manuelle,Diesel,12 280€
CITROEN C3 AIRCROSS,2020,52 810 km,Automatique,Essence,18 080€
AUDI Q3 II,2020,115 393 km,Automatique,Essence,30 340€
PEUGEOT 308 III,2023,17 245 km,Automatique,Hybrides,48 380€
DODGE RAM,2023,36 km,Automatique,Essence,130 680€
PEUGEOT 2008 phase 2,2018,30 779 km,Manuelle,Diesel,23 540€
VOLKSWAGEN T-CROSS,2023,11 km,Automatique,Essence,28 560€
PEUGEOT 208 phase 2,2020,59 049 km,Manuelle,Diesel,15 100€
PORSCHE MACAN,2018,91 960 km,Automatique,Diesel,71 370€
KIA E-NIRO phase 2,2021,49 053 km,Automatique,Électrique,35 250€
AUDI SQ5 phase 2,2014,170 390 km,Automatique,Diesel,32 980€
PEUGEOT 208 (2E GENERATION),2023,15 158 km,Automatique,Essence,30 650€
